2021-02-10 | 10:35:33.943 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | createUserLiking.userLikingReqeust.userLiking[5].restaurantId: must not be null, createUserLiking.userLikingReqeust.userLiking[1].restaurantId: must not be null, createUserLiking.userLikingReqeust.userLiking[4].restaurantId: must not be null, createUserLiking.userLikingReqeust.userLiking[0].restaurantId: must not be null, createUserLiking.userLikingReqeust.userLiking[2].restaurantId: must not be null, createUserLiking.userLikingReqeust.userLiking[3].restaurantId: must not be null, createUserLiking.userLikingReqeust.userLiking[6].restaurantId: must not be null
2021-02-10 | 10:35:33.944 | Test worker          |  INFO | .s.s.c.UserControllerTest | ID:          | 유저 리포지토 비우기
2021-02-10 | 10:35:34.117 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | createUserLiking.userLikingReqeust.userLongitude: must not be null
2021-02-10 | 10:35:34.118 | Test worker          |  INFO | .s.s.c.UserControllerTest | ID:          | 유저 리포지토 비우기
2021-02-10 | 10:35:34.373 | Test worker          |  INFO | .s.s.c.UserControllerTest | ID:          | 유저 리포지토 비우기
2021-02-10 | 10:35:34.452 | Test worker          |  INFO | otTestContextBootstrapper | ID:          | Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.swm.sprint1.controller.RestaurantControllerTest], using SpringBootContextLoader
2021-02-10 | 10:35:34.453 | Test worker          |  INFO | c.s.AbstractContextLoader | ID:          | Could not detect default resource locations for test class [com.swm.sprint1.controller.RestaurantControllerTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2021-02-10 | 10:35:34.453 | Test worker          |  INFO | nConfigContextLoaderUtils | ID:          | Could not detect default configuration classes for test class [com.swm.sprint1.controller.RestaurantControllerTest]: RestaurantControllerTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2021-02-10 | 10:35:34.455 | Test worker          |  INFO | otTestContextBootstrapper | ID:          | Found @SpringBootConfiguration com.swm.sprint1.Application for test class com.swm.sprint1.controller.RestaurantControllerTest
2021-02-10 | 10:35:34.457 | Test worker          |  INFO | otTestContextBootstrapper | ID:          | Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener, org.springframework.security.test.context.support.ReactorContextTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
